ID,Status,Phase,Reason
0x02BF,SAFE,Gameplay,
0x02C0,SAFE,Gameplay,
0x02C1,CRASH,Other (0x9F),Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x02C2,SAFE,Gameplay,
0x02C3,SAFE,Gameplay,
0x02C4,SAFE,Gameplay,
0x02C5,SAFE,Gameplay,
0x02C6,SAFE,Gameplay,
0x02C7,SAFE,Gameplay,
0x02C8,SAFE,Gameplay,
0x02C9,SAFE,Gameplay,
0x02CA,SAFE,Gameplay,
0x02CB,SAFE,Gameplay,
0x02CC,SAFE,Gameplay,
0x02CD,SAFE,Gameplay,
0x02CE,SAFE,Gameplay,
0x02CF,SAFE,Gameplay,
0x02D0,SAFE,Gameplay,
0x02D1,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x02D2,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x02D3,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x02D4,SAFE,Gameplay,
0x02D5,CRASH,Other (0x3E),Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x02D6,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x02D7,SAFE,Gameplay,
0x02D8,CRASH,Fade In,Internal FC Frozen at 0x0528 for 30 frames
0x02D9,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x02DA,CRASH,Fade In,Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x02DB,SAFE,Gameplay,
0x02DC,SAFE,Gameplay,
0x02DD,SAFE,Gameplay,
0x02DE,CRASH,Other (0x20),Lag Limit Exceeded (emu.islagged() true for 30 frames)
0x02DF,SAFE,Gameplay,
0x02E0,SAFE,Gameplay,
0x02E1,SAFE,Gameplay,
0x02E2,SAFE,Gameplay,
0x02E3,SAFE,Gameplay,
0x02E4,SAFE,Gameplay,
0x02E5,SAFE,Gameplay,
0x02E6,CRASH,Fade In,Internal FC Frozen at 0x0528 for 30 frames
0x02E7,CRASH,Fade In,Internal FC Frozen at 0x0528 for 30 frames
